frame,x,y,w,h,lp_image,plate_number
1,110,449,108,34,no_helmet_lp_frame1.jpg,new Zealand
2,110,449,108,34,no_helmet_lp_frame2.jpg,new Zealand
3,112,447,107,35,no_helmet_lp_frame3.jpg,processions.
4,112,450,116,32,no_helmet_lp_frame4.jpg,newoodsbury
5,112,450,116,32,no_helmet_lp_frame5.jpg,processions
6,113,449,116,35,no_helmet_lp_frame6.jpg,processions
7,113,449,116,35,no_helmet_lp_frame7.jpg,processions
8,119,449,108,36,no_helmet_lp_frame8.jpg,processions
9,120,450,109,35,no_helmet_lp_frame9.jpg,processions.
10,120,450,109,35,no_helmet_lp_frame10.jpg,processions.
11,122,450,114,35,no_helmet_lp_frame11.jpg,processions
12,125,452,111,34,no_helmet_lp_frame12.jpg,processions
13,125,452,111,34,no_helmet_lp_frame13.jpg,processions
14,128,451,108,35,no_helmet_lp_frame14.jpg,rundoose's
15,128,451,108,35,no_helmet_lp_frame15.jpg,rundoose's
16,128,451,118,35,no_helmet_lp_frame16.jpg,newstrong
17,132,451,111,35,no_helmet_lp_frame17.jpg,remendations.
18,132,451,111,35,no_helmet_lp_frame18.jpg,remendations.
19,134,451,112,35,no_helmet_lp_frame19.jpg,runnership
20,138,452,112,36,no_helmet_lp_frame20.jpg,newstrong
21,137,452,113,36,no_helmet_lp_frame21.jpg,new YORK
22,143,453,106,38,no_helmet_lp_frame22.jpg,spouse.
23,143,453,106,38,no_helmet_lp_frame23.jpg,spouse.
24,139,454,117,38,no_helmet_lp_frame24.jpg,processions
25,138,456,128,34,no_helmet_lp_frame25.jpg,the most obvious
26,138,456,128,34,no_helmet_lp_frame26.jpg,the most obvious
27,142,455,122,36,no_helmet_lp_frame27.jpg,process and
28,144,454,120,37,no_helmet_lp_frame28.jpg,newstrong
29,144,454,119,37,no_helmet_lp_frame29.jpg,newstrong
30,150,458,118,32,no_helmet_lp_frame30.jpg,newstrong
31,150,458,118,32,no_helmet_lp_frame31.jpg,new YORK
32,152,457,116,34,no_helmet_lp_frame32.jpg,remonsuous rights.
33,157,457,109,35,no_helmet_lp_frame33.jpg,autosuous
34,157,457,110,36,no_helmet_lp_frame34.jpg,newstrongers.
35,154,457,117,35,no_helmet_lp_frame35.jpg,newstronging
36,153,459,119,34,no_helmet_lp_frame36.jpg,newstronging
37,153,459,119,34,no_helmet_lp_frame37.jpg,newstronging
38,160,460,114,32,no_helmet_lp_frame38.jpg,newstronging
39,160,460,113,32,no_helmet_lp_frame39.jpg,runners
40,161,460,114,34,no_helmet_lp_frame40.jpg,newstrong
41,161,460,116,33,no_helmet_lp_frame41.jpg,new Zealand businesses
42,161,460,116,33,no_helmet_lp_frame42.jpg,new Zealand businesses
43,160,460,117,33,no_helmet_lp_frame43.jpg,new Zealandists
44,160,461,120,34,no_helmet_lp_frame44.jpg,newstrong
45,160,461,120,34,no_helmet_lp_frame45.jpg,newstrong
46,166,462,117,31,no_helmet_lp_frame46.jpg,new Zealandists
47,166,462,117,31,no_helmet_lp_frame47.jpg,new Zealandists
48,164,462,121,32,no_helmet_lp_frame48.jpg,new YORK
49,165,461,121,33,no_helmet_lp_frame49.jpg,common owners
50,165,461,120,33,no_helmet_lp_frame50.jpg,commonwealth
51,165,465,121,33,no_helmet_lp_frame51.jpg,new YORK
52,165,465,121,33,no_helmet_lp_frame52.jpg,newswood success
53,165,465,121,33,no_helmet_lp_frame53.jpg,newswood success
54,167,467,117,32,no_helmet_lp_frame54.jpg,new YORK
55,167,467,117,32,no_helmet_lp_frame55.jpg,new YORK
56,167,467,116,32,no_helmet_lp_frame56.jpg,new YORK
57,167,467,115,31,no_helmet_lp_frame57.jpg,new Zealandists
58,167,467,115,31,no_helmet_lp_frame58.jpg,new Zealandists
59,165,468,119,32,no_helmet_lp_frame59.jpg,new YORK
60,164,468,121,31,no_helmet_lp_frame60.jpg,new Zealand 3439
61,164,468,121,31,no_helmet_lp_frame61.jpg,new Zealand 3439
62,161,469,128,31,no_helmet_lp_frame62.jpg,new YORK
63,161,469,127,31,no_helmet_lp_frame63.jpg,new YORK 3/
64,161,470,118,29,no_helmet_lp_frame64.jpg,methodnow 3 43
65,162,472,116,27,no_helmet_lp_frame65.jpg,withmondhouse 3
66,162,472,116,27,no_helmet_lp_frame66.jpg,withmondhouse 3
67,159,471,119,28,no_helmet_lp_frame67.jpg,common 3/3
68,159,471,120,29,no_helmet_lp_frame68.jpg,methodbooks
69,159,471,120,29,no_helmet_lp_frame69.jpg,methodbooks
70,159,471,118,30,no_helmet_lp_frame70.jpg,new Zealandists
71,159,471,118,30,no_helmet_lp_frame71.jpg,new Zealandists
72,156,471,123,30,no_helmet_lp_frame72.jpg,the Honourable
73,154,471,126,30,no_helmet_lp_frame73.jpg,Hethmann 3/3?
74,154,471,126,30,no_helmet_lp_frame74.jpg,Hethmann 3/3?
75,152,470,120,30,no_helmet_lp_frame75.jpg,Hutinous 3 43
76,149,471,124,30,no_helmet_lp_frame76.jpg,commonwealth
77,149,471,123,29,no_helmet_lp_frame77.jpg,commonworkers.
80,143,471,120,29,no_helmet_lp_frame80.jpg,managementists
81,138,470,129,31,no_helmet_lp_frame81.jpg,PRODUCTions
82,138,470,130,31,no_helmet_lp_frame82.jpg,PHIL Motorsports
83,137,470,130,32,no_helmet_lp_frame83.jpg,""" 4th.000,"
